"cn.code","country","location","week","value"
"SF","South Africa","Gauteng",6,0.740899323953434
"SF","South Africa","Gauteng",7,0.750115231833737
"SF","South Africa","Gauteng",8,0.774513273421746
"SF","South Africa","Gauteng",9,0.796369563473716
"SF","South Africa","Gauteng",10,0.816853440695149
"SF","South Africa","Gauteng",11,0.84252104820173
"SF","South Africa","Gauteng",12,0.869381793250603
"SF","South Africa","Gauteng",13,0.891580829706139
"SF","South Africa","Gauteng",14,0.912876084713099
"SF","South Africa","Gauteng",15,0.930538753594715
"SF","South Africa","Gauteng",16,0.969499771660169
"SF","South Africa","Gauteng",17,1.00453858447613
"SF","South Africa","Gauteng",18,1.05439617849525
"SF","South Africa","Gauteng",19,1.09008496225844
"SF","South Africa","Gauteng",20,1.13487171337997
"SF","South Africa","Gauteng",21,1.18473977514176
"SF","South Africa","Gauteng",22,1.21560833033127
"SF","South Africa","Gauteng",23,1.23808685084407
"SF","South Africa","Gauteng",24,1.23777611286102
"SF","South Africa","Gauteng",25,1.24810593589259
"SF","South Africa","Gauteng",26,1.24765678273764
"SF","South Africa","Gauteng",27,1.26622041927587
"SF","South Africa","Gauteng",28,1.29419818935126
"SF","South Africa","Gauteng",29,1.3191404433414
"SF","South Africa","Gauteng",30,1.32652214321435
"SF","South Africa","Gauteng",31,1.30798035141153
"SF","South Africa","Gauteng",32,1.28587580113034
"SF","South Africa","Gauteng",33,1.24940942599859
"SF","South Africa","Gauteng",34,1.23959371457396
"SF","South Africa","Gauteng",35,1.22967244500584
"SF","South Africa","Gauteng",36,1.22821847336085
"SF","South Africa","Gauteng",37,1.18691025374432
"SF","South Africa","Gauteng",38,1.15322433238119
"SF","South Africa","Gauteng",39,1.10724771305624
"SF","South Africa","Gauteng",40,1.05538372802146
"SF","South Africa","Gauteng",41,0.989300843260322
"SF","South Africa","Gauteng",42,0.932452146893318
"SF","South Africa","Gauteng",43,0.910100842777233
"SF","South Africa","Gauteng",44,0.88130470559841
"SF","South Africa","Gauteng",45,0.865195144993968
"SF","South Africa","Gauteng",46,0.84094368206962
"SF","South Africa","Gauteng",47,0.822808787434768
"SF","South Africa","Gauteng",48,0.799703660768843
"SF","South Africa","Gauteng",49,0.784410773557603
"SF","South Africa","Gauteng",50,0.766999746858898
"SF","South Africa","Gauteng",51,0.75187407101264
"SF","South Africa","Gauteng",52,0.738537500838834
"SF","South Africa","Gauteng",53,0.737468242465307
"SF","South Africa","KwaZulu-Natal",1,0.856355417018815
"SF","South Africa","KwaZulu-Natal",2,0.857939783094227
"SF","South Africa","KwaZulu-Natal",3,0.860056411219899
"SF","South Africa","KwaZulu-Natal",4,0.858578012096454
"SF","South Africa","KwaZulu-Natal",5,0.857923470353033
"SF","South Africa","KwaZulu-Natal",6,0.855220791776637
"SF","South Africa","KwaZulu-Natal",7,0.861038332121575
"SF","South Africa","KwaZulu-Natal",8,0.86519748670944
"SF","South Africa","KwaZulu-Natal",9,0.866682112397774
"SF","South Africa","KwaZulu-Natal",10,0.870390087006641
"SF","South Africa","KwaZulu-Natal",11,0.876265435048757
"SF","South Africa","KwaZulu-Natal",12,0.887739953610367
"SF","South Africa","KwaZulu-Natal",13,0.912068659057109
"SF","South Africa","KwaZulu-Natal",14,0.943236208760591
"SF","South Africa","KwaZulu-Natal",15,0.970769624090443
"SF","South Africa","KwaZulu-Natal",16,0.982915940066411
"SF","South Africa","KwaZulu-Natal",17,0.991360697222322
"SF","South Africa","KwaZulu-Natal",18,1.00787983477351
"SF","South Africa","KwaZulu-Natal",19,1.02388351984799
"SF","South Africa","KwaZulu-Natal",20,1.0513025804145
"SF","South Africa","KwaZulu-Natal",21,1.08350535398969
"SF","South Africa","KwaZulu-Natal",22,1.11935267811872
"SF","South Africa","KwaZulu-Natal",23,1.15660562981762
"SF","South Africa","KwaZulu-Natal",24,1.17441515724725
"SF","South Africa","KwaZulu-Natal",25,1.1884071546044
"SF","South Africa","KwaZulu-Natal",26,1.18704041388619
"SF","South Africa","KwaZulu-Natal",27,1.19814801685384
"SF","South Africa","KwaZulu-Natal",28,1.21148752910623
"SF","South Africa","KwaZulu-Natal",29,1.21152454414317
"SF","South Africa","KwaZulu-Natal",30,1.2013482641707
"SF","South Africa","KwaZulu-Natal",31,1.17810159135125
"SF","South Africa","KwaZulu-Natal",32,1.15266423013003
"SF","South Africa","KwaZulu-Natal",33,1.12414347706928
"SF","South Africa","KwaZulu-Natal",34,1.10185854175937
"SF","South Africa","KwaZulu-Natal",35,1.08830252965451
"SF","South Africa","KwaZulu-Natal",36,1.0696035592311
"SF","South Africa","KwaZulu-Natal",37,1.04680414921804
"SF","South Africa","KwaZulu-Natal",38,1.02922556144696
"SF","South Africa","KwaZulu-Natal",39,1.01998051844401
"SF","South Africa","KwaZulu-Natal",40,1.01077784644809
"SF","South Africa","KwaZulu-Natal",41,0.999267872401242
"SF","South Africa","KwaZulu-Natal",42,0.989370649462355
"SF","South Africa","KwaZulu-Natal",43,0.976152246653839
"SF","South Africa","KwaZulu-Natal",44,0.967725388597516
"SF","South Africa","KwaZulu-Natal",45,0.956717174126198
"SF","South Africa","KwaZulu-Natal",46,0.948212356889203
"SF","South Africa","KwaZulu-Natal",47,0.924980936982252
"SF","South Africa","KwaZulu-Natal",48,0.910606744756504
"SF","South Africa","KwaZulu-Natal",49,0.900064421097072
"SF","South Africa","KwaZulu-Natal",50,0.886985992591104
"SF","South Africa","KwaZulu-Natal",51,0.870218453054645
"SF","South Africa","KwaZulu-Natal",52,0.854755069440082
"SF","South Africa","KwaZulu-Natal",53,0.856646918422967
"SF","South Africa","Limpopo",1,0.792379052307115
"SF","South Africa","Limpopo",2,0.78481235927936
"SF","South Africa","Limpopo",3,0.789020015901076
"SF","South Africa","Limpopo",4,0.785511324584133
"SF","South Africa","Limpopo",5,0.781636590032383
"SF","South Africa","Limpopo",6,0.779335773626296
"SF","South Africa","Limpopo",7,0.793924391511877
"SF","South Africa","Limpopo",8,0.808598476320501
"SF","South Africa","Limpopo",9,0.82002215097741
"SF","South Africa","Limpopo",10,0.821526936421915
"SF","South Africa","Limpopo",11,0.819957922285655
"SF","South Africa","Limpopo",12,0.831521388500833
"SF","South Africa","Limpopo",13,0.858708200589619
"SF","South Africa","Limpopo",14,0.899731439625086
"SF","South Africa","Limpopo",15,0.941326019837895
"SF","South Africa","Limpopo",16,0.983474805874995
"SF","South Africa","Limpopo",17,1.02782549084122
"SF","South Africa","Limpopo",18,1.07886970910157
"SF","South Africa","Limpopo",19,1.11747906993975
"SF","South Africa","Limpopo",20,1.16371969240569
"SF","South Africa","Limpopo",21,1.21243869450349
"SF","South Africa","Limpopo",22,1.24151418488053
"SF","South Africa","Limpopo",23,1.26115752358411
"SF","South Africa","Limpopo",24,1.26100798051597
"SF","South Africa","Limpopo",25,1.27731949402367
"SF","South Africa","Limpopo",26,1.28454536809066
"SF","South Africa","Limpopo",27,1.30071853849523
"SF","South Africa","Limpopo",28,1.34131139105398
"SF","South Africa","Limpopo",29,1.36152498613452
"SF","South Africa","Limpopo",30,1.36496400542238
"SF","South Africa","Limpopo",31,1.33169894856868
"SF","South Africa","Limpopo",32,1.31002054729855
"SF","South Africa","Limpopo",33,1.28074266522198
"SF","South Africa","Limpopo",34,1.26029195761805
"SF","South Africa","Limpopo",35,1.22431306132278
"SF","South Africa","Limpopo",36,1.18851903479691
"SF","South Africa","Limpopo",37,1.11053842620406
"SF","South Africa","Limpopo",38,1.03999909470738
"SF","South Africa","Limpopo",39,0.979120609383633
"SF","South Africa","Limpopo",40,0.941023939633078
"SF","South Africa","Limpopo",41,0.900662245774738
"SF","South Africa","Limpopo",42,0.866672848227739
"SF","South Africa","Limpopo",43,0.841892096519615
"SF","South Africa","Limpopo",44,0.822403291456292
"SF","South Africa","Limpopo",45,0.810746779596731
"SF","South Africa","Limpopo",46,0.801071132085618
"SF","South Africa","Limpopo",47,0.798843970707457
"SF","South Africa","Limpopo",48,0.792762717496555
"SF","South Africa","Limpopo",49,0.797223526406623
"SF","South Africa","Limpopo",50,0.787192261277121
"SF","South Africa","Limpopo",51,0.778958350291199
"SF","South Africa","Limpopo",52,0.782780130765715
"SF","South Africa","Limpopo",53,0.786142901454097
"SF","South Africa","Mpumalanga",1,0.81720907535288
"SF","South Africa","Mpumalanga",2,0.822344437556736
"SF","South Africa","Mpumalanga",3,0.822755249455994
"SF","South Africa","Mpumalanga",4,0.818464504891798
"SF","South Africa","Mpumalanga",5,0.812952354715788
"SF","South Africa","Mpumalanga",6,0.814167978427838
"SF","South Africa","Mpumalanga",7,0.821666088983505
"SF","South Africa","Mpumalanga",8,0.838664043076189
"SF","South Africa","Mpumalanga",9,0.854497034466068
